league_id,team_id,Team Name,player_api_id,player_name,Player Rating,Finishing,Acceleration,Interceptions,Marking,Positioning
1,7947,SV Darmstadt 98,39575,Eric Deflandre,69,38,67,65,70,66
1,7947,SV Darmstadt 98,45413,Ervin Zukanovic,74,35,68,78,81,43
1,7947,SV Darmstadt 98,131406,Fred,68,30,50,67,70,42
24558,7955,SV Darmstadt 98,33762,Angel Javier Arizmendi,75,78,82,78,45,83
24558,7955,SV Darmstadt 98,115160,Brown Ideye,76,81,81,54,26,79
24558,7955,SV Darmstadt 98,30276,David Navarro,79,60,76,79,80,81
24558,7955,SV Darmstadt 98,19403,Galatto,75,40,43,37,31,25
24558,7955,SV Darmstadt 98,170775,Haris Seferovic,77,80,69,36,45,79
24558,7955,SV Darmstadt 98,43329,Kalu Uche,80,77,86,77,36,74
17642,7992,SV Darmstadt 98,150320,David Caiado,65,59,75,41,30,61
17642,7992,SV Darmstadt 98,163665,Fernando Varela,65,32,69,60,66,42
17642,7992,SV Darmstadt 98,38241,Helder Barbosa,78,73,86,66,43,76
17642,7992,SV Darmstadt 98,25930,Hugo Leal,74,61,74,75,52,73
17642,7992,SV Darmstadt 98,42353,Marcelo Lipatin,69,69,62,68,29,70
15722,8019,SV Darmstadt 98,154950,Adrian Basta,65,45,81,63,66,45
15722,8019,SV Darmstadt 98,69238,Grzegorz Bonin,65,69,64,45,46,67
15722,8019,SV Darmstadt 98,281158,Jakub Swierczok,65,68,68,25,25,67
15722,8019,SV Darmstadt 98,92223,Kamil Pozniak,66,61,75,62,25,70
15722,8019,SV Darmstadt 98,277466,Lukasz Boguslawski,70,70,78,31,25,73
15722,8019,SV Darmstadt 98,242306,Marcin Kalkowski,65,35,48,61,67,25
15722,8019,SV Darmstadt 98,41582,Marquitos,76,72,80,72,59,75
15722,8020,SV Darmstadt 98,277460,Arkadiusz Milik,77,84,76,36,32,75
15722,8020,SV Darmstadt 98,47553,Blazey Augustyn,74,44,68,74,75,74
15722,8020,SV Darmstadt 98,80184,Boris Pandza,69,24,63,64,71,36
15722,8020,SV Darmstadt 98,72393,Erik Grendel,69,64,81,70,67,67
15722,8020,SV Darmstadt 98,34037,Ireneusz Jelen,81,89,85,68,31,87
15722,8020,SV Darmstadt 98,178732,Lukasz Skorupski,73,25,82,25,25,25
15722,8020,SV Darmstadt 98,114816,Michal Pazdan,69,35,55,69,70,62
15722,8021,SV Darmstadt 98,196185,Arkadiusz Piech,70,70,90,58,52,81
15722,8021,SV Darmstadt 98,287341,Filip Starzynski,69,56,72,67,60,68
15722,8021,SV Darmstadt 98,43138,Jiri Bilek,69,54,63,74,64,71
15722,8021,SV Darmstadt 98,105535,Kamil Wilczek,70,75,67,56,42,66
15722,8021,SV Darmstadt 98,25255,Michal Papadopoulos,71,76,74,63,23,68
15722,8023,SV Darmstadt 98,277313,Adam Gyurcso,69,68,81,34,14,69
15722,8023,SV Darmstadt 98,12318,Dusan Pernis,70,23,38,37,23,39
15722,8023,SV Darmstadt 98,69214,Hernani,71,36,73,62,73,53
15722,8023,SV Darmstadt 98,23930,Jaroslaw Fojut,70,25,66,72,71,60
15722,8023,SV Darmstadt 98,69229,Marcin Robak,72,76,66,41,30,77
15722,8024,SV Darmstadt 98,77778,Dudu Paraiba,69,53,77,69,71,54
15722,8024,SV Darmstadt 98,69227,Marcin Kaczmarek,71,46,84,67,70,55
15722,8024,SV Darmstadt 98,13486,Marcin Kikut,70,58,83,57,79,61
15722,8024,SV Darmstadt 98,69229,Marcin Robak,72,76,66,41,30,77
15722,8024,SV Darmstadt 98,92222,Mateusz Cetnarski,69,66,82,59,38,65
15722,8025,SV Darmstadt 98,33967,Dalibor Stevanovic,74,65,72,76,57,82
15722,8025,SV Darmstadt 98,26394,Eric Mouloungui,72,74,82,68,34,73
15722,8025,SV Darmstadt 98,179818,Flavio Paixao,70,74,75,54,24,74
15722,8025,SV Darmstadt 98,69256,Jacek Kielb,70,64,81,56,31,65
15722,8025,SV Darmstadt 98,23930,Jaroslaw Fojut,70,25,66,72,71,60
15722,8025,SV Darmstadt 98,179817,Marco Paixao,71,78,67,50,23,67
15722,8025,SV Darmstadt 98,75579,Marian Kelemen,70,25,47,72,25,25
15722,8025,SV Darmstadt 98,43313,Mariusz Pawelek,71,25,35,45,25,25
15722,8027,SV Darmstadt 98,206830,Bartlomiej Pawlowski,68,67,84,52,25,57
15722,8027,SV Darmstadt 98,114822,Grzegorz Sandomierski,68,25,55,36,25,25
15722,8027,SV Darmstadt 98,34567,Herold Goulon,69,39,49,70,65,45
15722,8027,SV Darmstadt 98,93431,Igor Lewczuk,68,48,72,66,69,62
15722,8027,SV Darmstadt 98,280976,Luis Carlos,71,70,93,33,28,68
15722,8027,SV Darmstadt 98,309348,Michal Maslowski,69,65,72,32,41,61
15722,8028,SV Darmstadt 98,38395,Alberto Cifuentes,71,25,47,21,25,25
15722,8028,SV Darmstadt 98,150670,Kamil Glik,82,25,63,86,85,38
15722,8028,SV Darmstadt 98,27630,Kamil Vacek,72,63,72,70,59,68
15722,8028,SV Darmstadt 98,16511,Konstantin Vassiljev,71,70,68,46,58,72
15722,8028,SV Darmstadt 98,69229,Marcin Robak,72,76,66,41,30,77
15722,8028,SV Darmstadt 98,13410,Mariusz Zganiacz,71,53,76,64,51,60
15722,8030,SV Darmstadt 98,30526,Daisuke Matsui,75,74,79,72,34,73
15722,8030,SV Darmstadt 98,13480,Grzegorz Wojtkowiak,72,52,74,77,77,54
15722,8030,SV Darmstadt 98,190366,Jakub Kosecki,71,69,94,54,36,77
15722,8030,SV Darmstadt 98,69601,Jakub Wawrzyniak,71,32,79,73,66,67
15722,8030,SV Darmstadt 98,69227,Marcin Kaczmarek,71,46,84,67,70,55
15722,8030,SV Darmstadt 98,179817,Marco Paixao,71,78,67,50,23,67
15722,8030,SV Darmstadt 98,30278,Marek Zienczuk,74,76,66,44,61,72
15722,8030,SV Darmstadt 98,114215,Mario Maloca,71,40,60,74,72,17
15722,8030,SV Darmstadt 98,31314,Milos Krasic,84,77,91,78,49,84
15722,8031,SV Darmstadt 98,154950,Adrian Basta,65,45,81,63,66,45
