league_id,season,team_api_id,team_long_name,avg_home_goals_team,avg_home_goals_league,avg_away_goals_team,avg_away_goals_league
4769,2009/2010,9855,"Grenoble Foot 38",1.26,1.34,0.37,1.10
4769,2009/2010,8682,"Le Mans FC",1.16,1.34,0.74,1.10
4769,2009/2010,8639,"LOSC Lille",2.32,1.34,1.47,1.10
4769,2009/2010,9829,"AS Monaco",1.37,1.34,0.68,1.10
4769,2009/2010,10249,"Montpellier Hérault SC",1.26,1.34,1.37,1.10
4769,2009/2010,9851,"Stade Rennais FC",1.63,1.34,1.11,1.10
4769,2009/2010,9853,"AS Saint-Étienne",0.68,1.34,0.74,1.10
4769,2009/2010,9873,"Valenciennes FC",1.21,1.34,1.42,1.10
4769,2009/2010,4170,"US Boulogne Cote D'Opale",1.00,1.34,0.63,1.10
4769,2009/2010,8588,"RC Lens",1.42,1.34,0.68,1.10
4769,2009/2010,8592,"Olympique de Marseille",1.95,1.34,1.68,1.10
4769,2009/2010,9831,"OGC Nice",1.21,1.34,0.95,1.10
4769,2009/2010,9874,"FC Sochaux-Montbéliard",0.95,1.34,0.53,1.10
4769,2009/2010,8689,"FC Lorient",1.89,1.34,0.95,1.10
4769,2009/2010,9748,"Olympique Lyonnais",1.68,1.34,1.68,1.10
4769,2009/2010,8481,"AS Nancy-Lorraine",1.05,1.34,1.37,1.10
4769,2009/2010,9847,"Paris Saint-Germain",1.68,1.34,0.95,1.10
4769,2009/2010,9941,"Toulouse FC",1.00,1.34,0.89,1.10
4769,2010/2011,8583,"AJ Auxerre",1.37,1.34,1.00,1.15
4769,2010/2011,8588,"RC Lens",1.05,1.34,0.79,1.15
4769,2010/2011,9748,"Olympique Lyonnais",1.84,1.34,1.37,1.15
4769,2010/2011,8592,"Olympique de Marseille",1.79,1.34,1.47,1.15
4769,2010/2011,10249,"Montpellier Hérault SC",1.11,1.34,0.58,1.15
4769,2010/2011,9831,"OGC Nice",1.16,1.34,0.58,1.15
4769,2010/2011,9847,"Paris Saint-Germain",1.74,1.34,1.21,1.15
4769,2010/2011,9851,"Stade Rennais FC",1.16,1.34,0.84,1.15
4769,2010/2011,9874,"FC Sochaux-Montbéliard",1.89,1.34,1.26,1.15
